ID,COMPONENT_ARBITRARY,ANONYMOUS_1,YEAR,SAMPLE_TRANSFER_DAY,ANONYMOUS_2,AG,AL,B,BA,BE,CA,CD,CO,CR,CU,FH2O,FNOX,FOPTIMETHGLY,FOXID,FSO4,FTBN,FE,FUEL,H2O,K,LI,MG,MN,MO,NA,NI,P,PB,PQINDEX,S,SB,SI,SN,SOOTPERCENTAGE,TI,U100,U75,U50,U25,U20,U14,U6,U4,V,V100,V40,ZN,Y_LABEL
TRAIN_00051,COMPONENT1,1751,2009,2,200,0,2,9,0,0,230,1.0,0,2,8,16.0,11.0,0.0,14.0,25.0,10.9,36,0.0,0.0,15.0,0,90,1,11,1,0,1361,4,18,7048,0,5,3,1.4,0,,,,,,,,,0,14.1,113.0,1656,0
TRAIN_00052,COMPONENT1,2653,2011,14,468,0,2,22,0,0,1976,0.0,0,0,4,16.0,7.0,0.0,15.0,22.0,8.8,10,0.0,0.0,4.0,0,109,0,186,3,0,1137,0,10,4537,0,14,1,0.7,0,,,,,,,,,0,14.7,117.2,1253,0
TRAIN_00053,COMPONENT3,2363,2010,8,200,0,1,219,0,0,9,0.0,0,0,0,,,,,,,44,,0.0,0.0,0,1,0,0,0,0,959,0,36,20070,0,3,0,,0,,,,,,,,,0,,129.2,7,0
TRAIN_00054,COMPONENT4,3851,2011,12,200,0,9,8,0,0,2727,0.0,0,0,108,,,,,,,15,,0.0,6.0,0,353,0,136,3,0,897,0,24,4000,0,5,0,,0,,,,,,,,,0,,81.5,1007,0
TRAIN_00055,COMPONENT1,1830,2013,13,200,0,6,163,0,0,3624,0.0,0,6,135,14.0,9.0,1.0,15.0,24.0,10.3,65,0.0,0.0,3.0,0,471,1,189,3,0,933,9,14,3708,0,23,8,1.4,0,,,,,,,,,0,15.2,126.2,1193,0
TRAIN_00056,COMPONENT4,2432,2013,2,200,0,0,0,0,0,13,0.0,0,0,254,,,,,,,19,,0.0,3.0,0,6,3,2,14,0,1000,1,10,7057,0,1,0,,0,,,,,,,,,0,,66.4,1020,0
TRAIN_00057,COMPONENT3,7789,2012,4,200,0,0,3,0,0,61,0.0,0,4,5,,,,,,,116,,0.1,3.0,1,2,4,2,7,2,2082,1,1368,22800,1,11,0,,0,,,,,,,,,0,,158.3,64,0
TRAIN_00058,COMPONENT3,2901,2019,1,200,0,3,0,0,0,3295,0.0,0,1,0,,,,,,,137,,0.0,2.0,0,2,4,0,4,0,462,0,269,15240,0,4,0,,0,,,,,,,,,0,,134.2,43,0
TRAIN_00059,COMPONENT2,8483,2018,2,7550,0,0,3,0,0,37,0.0,0,0,7,,,,,,,2,,0.0,0.0,0,0,0,0,0,0,278,0,9,3084,0,3,0,,0,0.0,0.0,3.0,3.0,5.0,19.0,428.0,1304.0,0,,58.1,382,1
TRAIN_00060,COMPONENT3,4817,2012,3,200,0,628,123,6,0,183,0.0,0,2,6,,,,,,,91,,0.0,0.0,0,6,2,5,0,0,1262,0,25,20760,0,2,0,,0,,,,,,,,,0,,129.9,45,1
TRAIN_00061,COMPONENT4,1368,2014,5,200,0,6,147,1,0,3155,0.0,0,0,0,,,,,,,23,,0.0,4.0,0,275,0,14,2,0,1342,0,14,7977,0,4,0,,0,,,,,,,,,0,,77.4,1506,0
TRAIN_00062,COMPONENT3,1149,2014,42,349,0,1,8,0,0,2437,0.0,0,3,0,,,,,,,281,,0.0,0.0,0,20,2,1,1,0,233,0,301,16700,0,6,0,,0,,,,,,,,,0,,147.6,130,0
TRAIN_00063,COMPONENT3,1370,2013,7,200,0,2,167,2,0,28,0.0,0,1,3,,,,,,,156,,0.0,1.0,0,7,2,0,2,0,579,0,2432,22830,1,14,1,,0,,,,,,,,,0,,154.2,14,0
TRAIN_00064,COMPONENT1,2022,2019,4,375,0,4,16,0,0,3424,0.0,0,2,11,10.0,6.0,1.0,10.0,17.0,8.6,49,0.0,0.0,5.0,0,255,2,2,2,0,948,7,28,3745,0,9,11,0.6,0,,,,,,,,,0,13.0,86.5,1187,0
TRAIN_00065,COMPONENT3,2581,2014,5,200,0,0,4,0,0,63,0.0,0,0,0,,,,,,,31,,0.0,1.0,0,0,2,0,1,0,996,0,27,19860,0,0,0,,0,,,,,,,,,0,,130.9,9,0
TRAIN_00066,COMPONENT1,4031,2009,2,200,0,5,130,0,0,3200,0.0,0,2,3,12.0,7.0,1.0,12.0,23.0,8.7,23,0.0,0.0,,0,14,0,12,0,1,903,5,20,11123,2,10,4,0.3,0,,,,,,,,,0,12.9,90.5,1060,0
TRAIN_00067,COMPONENT3,2248,2009,2,200,0,77,2,2,0,73,0.0,0,2,5,,,,,,,209,,0.0,1.0,0,0,2,1,0,0,294,0,118,12510,0,4,0,,0,,,,,,,,,0,,163.2,47,1
TRAIN_00068,COMPONENT2,2806,2015,2,200,0,2,23,0,0,184,0.0,0,3,3,,,,,,,16,,0.0,0.0,0,3,0,1,0,0,259,0,21,9365,0,2,0,,0,2.0,3.0,29.0,50.0,52.0,186.0,4410.0,20490.0,0,,68.5,321,0
TRAIN_00069,COMPONENT1,1926,2008,5,200,0,10,94,0,0,3022,0.0,0,2,24,16.0,9.0,1.0,17.0,26.0,8.8,76,0.0,0.0,9.0,0,10,0,3,4,0,984,17,11,8150,0,5,4,0.8,0,,,,,,,,,0,13.3,97.5,1187,0
TRAIN_00070,COMPONENT2,3592,2020,5,592,0,2,0,0,0,3495,0.0,0,0,6,,,,,,,8,,0.0,,0,10,0,0,1,0,232,0,22,4898,0,9,0,,0,0.0,0.0,1.0,3.0,4.0,9.0,179.0,18478.0,0,,63.3,257,0
TRAIN_00071,COMPONENT2,1428,2010,10,628,0,3,3,2,0,7,0.0,0,0,211,,,,,,,99,,0.0,0.0,0,3,1,0,0,0,478,2,18,1388,0,2,0,,0,0.0,0.0,0.0,86.0,326.0,1018.0,12781.0,14579.0,0,,44.8,672,0
TRAIN_00072,COMPONENT3,3005,2019,5,200,0,1,18,0,0,3428,0.0,0,3,3,,,,,,,72,,0.0,2.0,0,9,3,13,13,0,1082,0,117,6225,1,14,0,,0,,,,,,,,,0,,68.3,1268,0
TRAIN_00073,COMPONENT1,1386,2014,9,200,0,0,84,0,0,7,0.0,0,0,1,18.0,6.0,1.0,10.0,19.0,8.5,8,0.0,0.0,0.0,0,10,0,65,3,0,983,4,14,9816,0,8,0,0.1,0,,,,,,,,,0,13.5,105.1,1149,0
TRAIN_00074,COMPONENT1,6713,2014,8,200,0,2,2,0,0,2024,0.0,0,2,9,14.0,8.0,0.0,16.0,21.0,9.4,25,0.0,0.0,2.0,0,13,0,206,3,0,1050,2,8,4327,0,5,2,0.7,0,,,,,,,,,0,14.1,113.4,1266,0
TRAIN_00075,COMPONENT3,21986,2015,14,200,0,0,163,0,0,6,0.0,0,0,0,,,,,,,11,,0.0,2.0,0,0,0,0,1,0,932,0,32,19180,0,0,0,,0,,,,,,,,,0,,132.8,7,0
TRAIN_00076,COMPONENT2,1618,2011,11,200,0,2,1,2,0,28,0.0,0,1,25,,,,,,,33,,0.0,1.0,0,3,0,1,0,0,267,0,21,6380,0,2,0,,0,0.0,0.0,0.0,0.0,1.0,4.0,490.0,20344.0,0,,68.4,318,0
TRAIN_00077,COMPONENT1,1662,2010,8,862,0,3,77,0,0,2347,0.0,0,1,8,14.0,6.0,0.0,11.0,19.0,10.2,42,0.0,0.0,3.0,0,505,2,176,4,0,900,4,13,3352,0,15,3,0.4,0,,,,,,,,,0,14.9,125.9,1055,1
TRAIN_00078,COMPONENT2,3803,2011,7,200,0,14,172,0,0,2693,,0,0,167,,,,,,,22,,0.0,10.0,0,4,0,2,1,0,416,3,38,1885,3,2,1,,0,0.0,0.0,0.0,4.0,6.0,,,,0,,44.6,515,0
TRAIN_00079,COMPONENT1,1203,2021,2,403,0,3,5,3,0,1175,0.0,0,0,0,9.0,5.0,1.0,10.0,19.0,9.0,5,0.0,0.0,,0,8,0,2,3,0,1165,0,12,3906,0,3,0,0.2,0,,,,,,,,,0,12.8,94.9,1267,0
TRAIN_00080,COMPONENT4,9097,2015,4,200,0,0,212,0,0,2601,1.0,0,1,1,,,,,,,19,,0.0,2.0,0,215,1,2,2,0,1115,0,21,7825,1,4,0,,1,,,,,,,,,0,,81.9,1071,0
TRAIN_00081,COMPONENT2,5606,2011,11,200,0,4,3,0,0,38,,0,1,81,,,,,,,15,,0.0,6.0,0,5,0,1,1,0,416,1,39,4734,1,2,0,,0,0.0,0.0,1.0,26.0,63.0,,,,0,,53.1,550,0
TRAIN_00082,COMPONENT3,4946,2016,5,200,0,0,2,0,0,58,0.0,0,0,1,,,,,,,85,,0.0,0.0,0,3,2,1,4,0,1872,0,109,22900,0,0,2,,0,,,,,,,,,0,,124.4,109,0
TRAIN_00083,COMPONENT3,2118,2010,5,200,0,1,15,0,0,148,0.0,0,3,14,,,,,,,192,,0.0,0.0,0,2,2,0,0,0,954,0,1911,19390,0,26,0,,0,,,,,,,,,0,,123.1,16,0
TRAIN_00084,COMPONENT3,4856,2016,9,200,0,2,448,0,0,3211,0.0,0,0,25,,,,,,,85,,0.0,5.0,0,0,2,0,2,0,724,0,63,17960,0,2,0,,0,,,,,,,,,0,,139.5,30,0
TRAIN_00085,COMPONENT3,1666,2012,6,866,0,1,19,0,0,136,0.0,0,1,0,,,,,,,64,,0.0,2.0,0,0,1,0,3,0,937,0,76,18410,0,1,1,,0,,,,,,,,,0,,133.2,14,0
TRAIN_00086,COMPONENT3,1434,2008,2,634,0,2,18,1,0,151,0.0,0,2,41,,,,,,,324,,0.0,0.0,0,9,5,9,0,0,1116,1,83,4575,0,12,1,,0,,,,,,,,,0,,55.5,1079,0
TRAIN_00087,COMPONENT2,4353,2012,5,200,0,6,329,0,0,2803,0.0,0,2,2,,,,,,,10,,0.0,0.0,0,8,0,0,2,0,307,0,29,7819,0,2,0,,0,0.0,0.0,5.0,46.0,62.0,124.0,629.0,1816.0,0,,61.9,408,0
TRAIN_00088,COMPONENT1,4086,2011,5,200,0,1453,160,11,0,214,0.0,0,0,2,16.0,8.0,1.0,16.0,20.0,10.6,7,0.0,0.0,3.0,0,15,0,271,4,0,1212,2,8,4507,0,7,3,0.0,0,,,,,,,,,0,13.8,111.0,1515,1
TRAIN_00089,COMPONENT3,1907,2007,5,375,0,8,124,1,0,3182,0.0,0,1,1,,,,,,,53,,0.0,,0,2,1,0,0,1,331,0,245,13208,1,7,0,,0,,,,,,,,,0,,156.1,53,0
TRAIN_00090,COMPONENT2,4105,2011,9,200,0,1,187,0,0,24,0.0,0,0,3,,,,,,,6,,0.0,0.0,0,3,0,0,0,0,124,0,11,7998,0,11,0,,0,0.0,0.0,1.0,309.0,482.0,1271.0,16419.0,21427.0,0,,63.2,129,0
TRAIN_00091,COMPONENT1,1677,2014,2,200,0,4,177,0,0,3664,0.0,0,3,53,13.0,7.0,0.0,14.0,21.0,8.6,41,0.0,0.0,5.0,0,105,1,39,5,0,1039,2,27,4094,0,11,5,0.4,0,,,,,,,,,0,13.5,102.7,1282,0
TRAIN_00092,COMPONENT3,2416,2010,2,200,0,0,16,0,0,143,0.0,0,14,4,,,,,,,1621,,0.0,2.0,0,6,22,7,0,3,981,0,903,7076,0,28,0,,0,,,,,,,,,0,,59.5,988,0
TRAIN_00093,COMPONENT4,2405,2009,10,200,0,0,146,0,0,29,0.0,0,0,61,,,,,,,14,,0.0,4.0,0,9,0,38,7,0,981,0,8,4700,0,8,0,,0,,,,,,,,,0,,81.4,1142,1
TRAIN_00094,COMPONENT1,3194,2015,7,200,0,2,99,0,0,77,,0,3,62,23.0,12.0,0.0,18.0,28.0,10.4,129,0.0,0.0,4.0,0,127,2,246,5,1,1230,19,23,5645,2,16,21,1.6,0,,,,,,,,,0,16.0,133.3,1561,0
TRAIN_00095,COMPONENT1,1725,2018,11,550,0,8,9,0,0,3416,0.0,2,2,4,16.0,7.0,1.0,13.0,22.0,8.3,24,0.0,0.0,2.0,0,18,2,42,4,0,965,2,22,10500,2,9,1,0.8,0,,,,,,,,,0,12.5,86.5,1070,0
TRAIN_00096,COMPONENT3,2864,2020,4,587,0,1,114,0,0,3903,0.0,0,0,0,,,,,,,61,,0.0,,0,0,1,130,6,0,1849,0,66,22350,0,15,0,,0,,,,,,,,,0,,176.5,45,0
TRAIN_00097,COMPONENT2,1350,2014,2,550,0,1,8,0,0,56,0.0,0,0,3,,,,,,,5,,0.0,1.0,0,2,0,0,0,0,366,0,5,3676,0,2,0,,0,0.0,0.0,1.0,18.0,35.0,57.0,898.0,6121.0,0,,50.9,541,0
TRAIN_00098,COMPONENT1,1754,2014,8,200,0,0,142,2,0,10,0.0,0,2,3,13.0,9.0,1.0,17.0,21.0,8.1,33,0.0,0.0,2.0,0,252,0,0,1,0,908,2,17,4390,0,9,3,0.8,0,,,,,,,,,0,12.7,86.7,1114,0
TRAIN_00099,COMPONENT2,1000,2017,6,200,0,0,6,0,0,46,0.0,0,1,11,,,,,,,23,,0.0,4.0,0,7,0,0,1,0,320,0,18,2259,0,43,0,,0,0.0,0.0,0.0,0.0,1.0,8.0,1069.0,38539.0,0,,56.9,420,0
TRAIN_00100,COMPONENT2,1508,2013,6,200,0,8,167,0,0,3303,0.0,0,0,11,,,,,,,2,,0.0,2.0,0,0,0,0,1,0,436,0,4,1164,0,0,0,,0,0.0,0.0,0.0,3.0,15.0,271.0,2020.0,9781.0,0,,45.3,672,0
TRAIN_00101,COMPONENT4,12735,2021,4,200,0,0,20,0,0,3465,0.0,0,0,0,,,,,,,9,,0.0,,0,19,0,0,3,0,1039,0,18,3857,0,3,0,,0,,,,,,,,,0,,78.8,1007,0
TRAIN_00102,COMPONENT3,3641,2014,22,200,0,4,185,1,0,3479,0.0,0,1,0,,,,,,,99,,0.0,0.0,0,2,1,0,2,0,1129,0,243,21110,0,30,0,,0,,,,,,,,,0,,122.8,57,0
TRAIN_00103,COMPONENT3,2031,2019,2,1231,0,0,0,0,0,55,0.0,0,0,36,,,,,,,39,,0.0,0.0,0,13,0,0,4,0,878,0,44,5133,0,47,2,,0,,,,,,,,,0,,109.3,1056,0
TRAIN_00104,COMPONENT3,1316,2017,3,516,0,1,0,2,0,37,0.0,0,5,0,,,,,,,170,,0.0,,0,13,2,0,4,0,300,0,919,22830,0,96,3,,0,,,,,,,,,0,,128.9,30,0
TRAIN_00105,COMPONENT3,1343,2009,2,200,0,7,136,1,0,3381,0.0,0,2,2,,,,,,,57,,0.0,1.0,0,0,1,4,1,0,2341,1,1118,26360,1,3,0,,0,,,,,,,,,0,,148.0,31,0
